% time	cellId	IMSI	RNTI	rsrp	sinr
0.000214285	1	1	0	9.88507e-11	208396
0.00121429	1	1	0	9.8853e-11	208400
0.00221428	1	1	0	9.88554e-11	208405
0.00321428	1	1	0	9.88577e-11	208410
0.00421428	1	1	0	9.886e-11	208415
0.00521428	1	1	0	9.88623e-11	208420
0.00621428	1	1	0	9.88647e-11	208425
0.00721428	1	1	0	9.8867e-11	208430
0.00821428	1	1	0	9.88693e-11	208435
0.00921428	1	1	0	9.88716e-11	208440
0.0102143	1	1	0	9.88739e-11	208445
0.0112143	1	1	0	9.88763e-11	208449
0.0122143	1	1	0	9.88786e-11	208454
0.0132143	1	1	0	9.88809e-11	208459
0.0142143	1	1	0	9.88832e-11	208464
0.0152143	1	1	0	9.88856e-11	208469
0.0162143	1	1	0	9.88879e-11	208474
0.0172143	1	1	0	9.88902e-11	208479
0.0182143	1	1	0	9.88925e-11	208484
0.0192143	1	1	0	9.88948e-11	208489
0.0202143	1	1	0	9.88972e-11	208494
0.0212143	1	1	1	9.88995e-11	208498
0.0222143	1	1	1	9.89018e-11	208503
0.0232143	1	1	1	9.89041e-11	208508
0.0242143	1	1	1	9.89064e-11	208513
0.0252143	1	1	1	9.89087e-11	208518
0.0262143	1	1	1	9.89111e-11	208523
0.0272143	1	1	1	9.89134e-11	208528
0.0282143	1	1	1	9.89157e-11	208533
0.0292143	1	1	1	9.8918e-11	208537
0.0302143	1	1	1	9.89203e-11	208542
0.0312143	1	1	1	9.89226e-11	208547
0.0322143	1	1	1	9.8925e-11	208552
0.0332143	1	1	1	9.89273e-11	208557
0.0342143	1	1	1	9.89296e-11	208562
0.0352143	1	1	1	9.89319e-11	208567
0.0362143	1	1	1	9.89342e-11	208572
0.0372143	1	1	1	9.89365e-11	208577
0.0382143	1	1	1	9.89388e-11	208581
0.0392143	1	1	1	9.89411e-11	208586
0.0402143	1	1	1	9.89435e-11	208591
0.0412143	1	1	1	9.89458e-11	208596
0.0422143	1	1	1	9.89481e-11	208601
0.0432143	1	1	1	9.89504e-11	208606
0.0442143	1	1	1	9.89527e-11	208611
0.0452143	1	1	1	9.8955e-11	208615
0.0462143	1	1	1	9.89573e-11	208620
0.0472143	1	1	1	9.89596e-11	208625
0.0482143	1	1	1	9.89619e-11	208630
0.0492143	1	1	1	9.89642e-11	208635
0.0502143	1	1	1	9.89666e-11	208640
0.0512143	1	1	1	9.89689e-11	208645
0.0522143	1	1	1	9.89712e-11	208650
0.0532143	1	1	1	9.89735e-11	208654
0.0542143	1	1	1	9.89758e-11	208659
0.0552143	1	1	1	9.89781e-11	208664
0.0562143	1	1	1	9.89804e-11	208669
0.0572143	1	1	1	9.89827e-11	208674
0.0582143	1	1	1	9.8985e-11	208679
0.0592143	1	1	1	9.89873e-11	208684
0.0602143	1	1	1	9.89896e-11	208688
0.0612143	1	1	1	9.89919e-11	208693
0.0622143	1	1	1	9.89942e-11	208698
0.0632143	1	1	1	9.89965e-11	208703
0.0642143	1	1	1	9.89988e-11	208708
0.0652143	1	1	1	9.90011e-11	208713
0.0662143	1	1	1	9.90034e-11	208718
0.0672143	1	1	1	9.90057e-11	208722
0.0682143	1	1	1	9.9008e-11	208727
0.0692143	1	1	1	9.90103e-11	208732
0.0702143	1	1	1	9.90126e-11	208737
0.0712143	1	1	1	9.90149e-11	208742
0.0722143	1	1	1	9.90172e-11	208747
0.0732143	1	1	1	9.90195e-11	208752
0.0742143	1	1	1	9.90218e-11	208756
0.0752143	1	1	1	9.90241e-11	208761
0.0762143	1	1	1	9.90264e-11	208766
0.0772143	1	1	1	9.90287e-11	208771
0.0782143	1	1	1	9.9031e-11	208776
0.0792143	1	1	1	9.90333e-11	208781
0.0802143	1	1	1	9.90356e-11	208785
0.0812143	1	1	1	9.90379e-11	208790
0.0822143	1	1	1	9.90402e-11	208795
0.0832143	1	1	1	9.90425e-11	208800
0.0842143	1	1	1	9.90448e-11	208805
0.0852143	1	1	1	9.90471e-11	208810
0.0862143	1	1	1	9.90494e-11	208814
0.0872143	1	1	1	9.90517e-11	208819
0.0882143	1	1	1	9.9054e-11	208824
0.0892143	1	1	1	9.90563e-11	208829
0.0902143	1	1	1	9.90586e-11	208834
0.0912143	1	1	1	9.90609e-11	208839
0.0922143	1	1	1	9.90632e-11	208844
0.0932143	1	1	1	9.90655e-11	208848
0.0942143	1	1	1	9.90678e-11	208853
0.0952143	1	1	1	9.90701e-11	208858
0.0962143	1	1	1	9.90723e-11	208863
0.0972143	1	1	1	9.90746e-11	208868
0.0982143	1	1	1	9.90769e-11	208873
0.0992143	1	1	1	9.90792e-11	208877
0.100214	1	1	1	9.90815e-11	208882
0.101214	1	1	1	9.90838e-11	208887
0.102214	1	1	1	9.90861e-11	208892
0.103214	1	1	1	9.90884e-11	208897
0.104214	1	1	1	9.90907e-11	208901
0.105214	1	1	1	9.9093e-11	208906
0.106214	1	1	1	9.90952e-11	208911
