% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.035	1	1	4	6	1	0	85
0.036	1	1	4	7	1	0	85
0.037	1	1	4	8	1	0	85
0.038	1	1	4	9	1	0	85
0.039	1	1	4	10	1	0	85
0.04	1	1	5	1	1	0	85
0.041	1	1	5	2	1	28	2292
0.045	1	1	5	6	1	28	2292
0.055	1	1	6	6	1	28	2292
0.065	1	1	7	6	1	28	2292
0.075	1	1	8	6	1	28	2292
0.085	1	1	9	6	1	28	2292
0.095	1	1	10	6	1	28	2292
0.105	1	1	11	6	1	28	2292
0.115	1	1	12	6	1	28	2292
0.125	1	1	13	6	1	28	2292
0.135	1	1	14	6	1	28	2292
0.145	1	1	15	6	1	28	2292
0.155	1	1	16	6	1	28	2292
0.165	1	1	17	6	1	28	2292
0.175	1	1	18	6	1	28	2292
0.185	1	1	19	6	1	28	2292
0.195	1	1	20	6	1	28	2292
0.205	1	1	21	6	1	28	2292
0.215	1	1	22	6	1	28	2292
0.225	1	1	23	6	1	28	2292
0.235	1	1	24	6	1	28	2292
0.245	1	1	25	6	1	28	2292
0.255	1	1	26	6	1	28	2292
0.265	1	1	27	6	1	28	2292
0.275	1	1	28	6	1	28	2292
0.285	1	1	29	6	1	28	2292
0.295	1	1	30	6	1	28	2292
0.305	1	1	31	6	1	28	2292
0.315	1	1	32	6	1	28	2292
0.325	1	1	33	6	1	28	2292
0.335	1	1	34	6	1	28	2292
0.345	1	1	35	6	1	28	2292
0.355	1	1	36	6	1	28	2292
0.365	1	1	37	6	1	28	2292
0.375	1	1	38	6	1	28	2292
0.385	1	1	39	6	1	28	2292
0.395	1	1	40	6	1	28	2292
0.405	1	1	41	6	1	28	2292
0.415	1	1	42	6	1	28	2292
0.425	1	1	43	6	1	28	2292
0.435	1	1	44	6	1	28	2292
0.445	1	1	45	6	1	28	2292
0.455	1	1	46	6	1	28	2292
0.465	1	1	47	6	1	28	2292
0.475	1	1	48	6	1	28	2292
0.485	1	1	49	6	1	28	2292
0.495	1	1	50	6	1	28	2292
0.505	1	1	51	6	1	28	2292
0.515	1	1	52	6	1	28	2292
0.525	1	1	53	6	1	28	2292
0.535	1	1	54	6	1	28	2292
0.545	1	1	55	6	1	28	2292
0.555	1	1	56	6	1	28	2292
0.565	1	1	57	6	1	28	2292
0.575	1	1	58	6	1	28	2292
0.585	1	1	59	6	1	28	2292
0.595	1	1	60	6	1	28	2292
0.605	1	1	61	6	1	28	2292
0.615	1	1	62	6	1	28	2292
0.625	1	1	63	6	1	28	2292
0.635	1	1	64	6	1	28	2292
0.645	1	1	65	6	1	28	2292
0.655	1	1	66	6	1	28	2292
0.665	1	1	67	6	1	28	2292
0.675	1	1	68	6	1	28	2292
