% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
41	1	1	1	0	0	85	0	1
42	1	1	1	0	0	85	0	1
43	1	1	1	0	0	85	0	1
44	1	1	1	0	0	85	0	1
45	1	1	1	0	0	85	0	1
46	1	1	1	0	0	85	0	1
47	1	1	1	0	28	2292	0	1
51	1	1	1	0	28	2292	0	1
61	1	1	1	0	28	2292	0	1
71	1	1	1	0	28	2292	0	1
81	1	1	1	0	28	2292	0	1
91	1	1	1	0	28	2292	0	1
101	1	1	1	0	28	2292	0	1
111	1	1	1	0	28	2292	0	1
121	1	1	1	0	28	2292	0	1
131	1	1	1	0	28	2292	0	1
141	1	1	1	0	28	2292	0	1
151	1	1	1	0	28	2292	0	1
161	1	1	1	0	28	2292	0	1
171	1	1	1	0	28	2292	0	1
181	1	1	1	0	28	2292	0	1
191	1	1	1	0	28	2292	0	1
201	1	1	1	0	28	2292	0	1
211	1	1	1	0	28	2292	0	1
221	1	1	1	0	28	2292	0	1
231	1	1	1	0	28	2292	0	1
241	1	1	1	0	28	2292	0	1
251	1	1	1	0	28	2292	0	1
261	1	1	1	0	28	2292	0	1
271	1	1	1	0	28	2292	0	1
281	1	1	1	0	28	2292	0	1
291	1	1	1	0	28	2292	0	1
301	1	1	1	0	28	2292	0	1
311	1	1	1	0	28	2292	0	1
321	1	1	1	0	28	2292	0	1
331	1	1	1	0	28	2292	0	1
341	1	1	1	0	28	2292	0	1
351	1	1	1	0	28	2292	0	1
361	1	1	1	0	28	2292	0	1
371	1	1	1	0	28	2292	0	1
381	1	1	1	0	28	2292	0	1
391	1	1	1	0	28	2292	0	1
401	1	1	1	0	28	2292	0	1
411	1	1	1	0	28	2292	0	1
421	1	1	1	0	28	2292	0	1
431	1	1	1	0	28	2292	0	1
441	1	1	1	0	28	2292	0	1
451	1	1	1	0	28	2292	0	1
461	1	1	1	0	28	2292	0	1
471	1	1	1	0	28	2292	0	1
481	1	1	1	0	28	2292	0	1
491	1	1	1	0	28	2292	0	1
501	1	1	1	0	28	2292	0	1
511	1	1	1	0	28	2292	0	1
521	1	1	1	0	28	2292	0	1
531	1	1	1	0	28	2292	0	1
541	1	1	1	0	28	2292	0	1
551	1	1	1	0	28	2292	0	1
561	1	1	1	0	28	2292	0	1
571	1	1	1	0	28	2292	0	1
581	1	1	1	0	28	2292	0	1
591	1	1	1	0	28	2292	0	1
601	1	1	1	0	28	2292	0	1
611	1	1	1	0	28	2292	0	1
621	1	1	1	0	28	2292	0	1
641	1	1	1	0	28	2292	0	1
651	1	1	1	0	28	2292	0	1
661	1	1	1	0	28	2292	0	1
671	1	1	1	0	28	2292	0	1
681	1	1	1	0	28	2292	0	1
691	1	1	1	0	28	2292	0	1
701	1	1	1	0	28	2292	0	1
711	1	1	1	0	28	2292	0	1
721	1	1	1	0	28	2292	0	1
731	1	1	1	0	28	2292	0	1
741	1	1	1	0	28	2292	0	1
751	1	1	1	0	28	2292	0	1
761	1	1	1	0	28	2292	0	1
771	1	1	1	0	28	2292	0	1
781	1	1	1	0	28	2292	0	1
791	1	1	1	0	28	2292	0	1
801	1	1	1	0	28	2292	0	1
811	1	1	1	0	28	2292	0	1
821	1	1	1	0	28	2292	0	1
831	1	1	1	0	28	2292	0	1
841	1	1	1	0	28	2292	0	1
851	1	1	1	0	28	2292	0	1
861	1	1	1	0	28	2292	0	1
871	1	1	1	0	28	2292	0	1
881	1	1	1	0	28	2292	0	1
891	1	1	1	0	28	2292	0	1
901	1	1	1	0	28	2292	0	1
911	1	1	1	0	28	2292	0	1
921	1	1	1	0	28	2292	0	1
931	1	1	1	0	28	2292	0	1
941	1	1	1	0	28	2292	0	1
951	1	1	1	0	28	2292	0	1
961	1	1	1	0	28	2292	0	1
971	1	1	1	0	28	2292	0	1
981	1	1	1	0	28	2292	0	1
991	1	1	1	0	28	2292	0	1
1001	1	1	1	0	28	2292	0	1
1011	1	1	1	0	28	2292	0	1
1021	1	1	1	0	28	2292	0	1
1031	1	1	1	0	28	2292	0	1
1041	1	1	1	0	28	2292	0	1
1051	1	1	1	0	28	2292	0	1
1061	1	1	1	0	28	2292	0	1
1071	1	1	1	0	28	2292	0	1
1081	1	1	1	0	28	2292	0	1
1091	1	1	1	0	28	2292	0	1
1101	1	1	1	0	28	2292	0	1
1111	1	1	1	0	28	2292	0	1
1121	1	1	1	0	28	2292	0	1
1131	1	1	1	0	28	2292	0	1
1141	1	1	1	0	28	2292	0	1
1151	1	1	1	0	28	2292	0	1
1161	1	1	1	0	28	2292	0	1
1171	1	1	1	0	28	2292	0	1
1181	1	1	1	0	28	2292	0	1
1191	1	1	1	0	28	2292	0	1
1201	1	1	1	0	28	2292	0	1
1211	1	1	1	0	28	2292	0	1
1221	1	1	1	0	28	2292	0	1
1231	1	1	1	0	28	2292	0	1
1241	1	1	1	0	28	2292	0	1
1251	1	1	1	0	28	2292	0	1
1261	1	1	1	0	28	2292	0	1
1271	1	1	1	0	28	2292	0	1
1281	1	1	1	0	28	2292	0	1
1291	1	1	1	0	28	2292	0	1
1301	1	1	1	0	28	2292	0	1
1311	1	1	1	0	28	2292	0	1
